time,dir,queue,vehicles,mean_speed
161.0,S,0,2,52.03
162.0,W,0,2,53.23
162.0,N,0,2,84.32
162.0,E,3,7,33.25
162.0,S,0,2,50.68
163.0,W,0,1,60.27
163.0,N,0,2,79.02
163.0,E,2,7,32.27
163.0,S,0,3,49.65
164.0,W,0,1,60.44
164.0,N,0,1,88.78
164.0,E,2,7,32.69
164.0,S,0,3,51.78
165.0,W,0,0,60.01
165.0,N,0,2,69.38
165.0,E,3,7,32.1
165.0,S,0,3,53.8
166.0,W,0,0,60.01
166.0,N,0,2,67.43
166.0,E,3,7,31.45
166.0,S,0,4,52.17
167.0,W,0,0,60.01
167.0,N,0,1,86.83
167.0,E,5,9,37.19
167.0,S,0,4,54.3
168.0,W,0,0,60.01
168.0,N,0,1,88.14
168.0,E,5,9,37.34
168.0,S,0,4,55.78
169.0,W,0,0,60.01
169.0,N,0,1,89.65
169.0,E,5,9,36.48
169.0,S,0,4,56.05
170.0,W,0,0,60.01
170.0,N,0,1,91.03
170.0,E,6,9,36.53
170.0,S,0,4,56.83
171.0,W,0,0,60.01
171.0,N,0,0,100.01
171.0,E,7,9,36.55
171.0,S,0,4,56.95
172.0,W,0,0,60.01
172.0,N,0,0,100.01
172.0,E,7,9,36.36
172.0,S,0,4,55.14
173.0,W,0,0,60.01
173.0,N,0,0,100.01
173.0,E,7,9,36.36
173.0,S,0,4,53.1
174.0,W,0,0,60.01
174.0,N,0,0,100.01
174.0,E,7,9,35.02
174.0,S,0,5,49.08
175.0,W,0,0,60.01
175.0,N,0,0,100.01
175.0,E,7,9,33.43
175.0,S,0,5,46.6
176.0,W,0,0,60.01
176.0,N,0,0,100.01
176.0,E,7,9,31.64
176.0,S,1,5,44.03
177.0,W,0,0,60.01
177.0,N,0,0,100.01
177.0,E,8,9,30.52
177.0,S,1,5,41.81
178.0,W,0,0,60.01
178.0,N,0,0,100.01
178.0,E,8,9,30.05
178.0,S,1,5,41.4
179.0,W,0,1,57.43
179.0,N,0,0,100.01
179.0,E,9,9,30.01
179.0,S,2,5,39.69
180.0,W,0,1,56.47
180.0,N,0,0,100.01
180.0,E,9,9,30.01
180.0,S,3,5,38.77
181.0,W,0,1,56.72
181.0,N,0,0,100.01
181.0,E,9,9,30.01
181.0,S,3,5,37.52
182.0,W,0,1,57.06
182.0,N,0,0,100.01
182.0,E,9,9,30.01
182.0,S,1,5,37.09
183.0,W,0,1,56.43
183.0,N,0,0,100.01
183.0,E,7,9,30.68
183.0,S,0,3,41.34
184.0,W,0,1,56.37
184.0,N,0,0,100.01
184.0,E,5,7,31.94
184.0,S,0,3,43.06
185.0,W,0,1,53.65
185.0,N,0,1,84.38
185.0,E,3,7,31.77
185.0,S,0,4,36.63
186.0,W,0,1,54.82
186.0,N,0,1,85.69
186.0,E,1,7,32.84
186.0,S,0,3,36.33
187.0,W,0,1,56.58
187.0,N,0,1,87.84
187.0,E,1,7,27.85
187.0,S,0,4,37.66
188.0,W,0,1,58.33
188.0,N,0,2,75.47
188.0,E,0,7,34.02
188.0,S,0,3,42.7
189.0,W,0,2,54.58
189.0,N,0,2,78.41
189.0,E,0,7,33.48
189.0,S,0,3,50.29
190.0,W,0,2,56.23
190.0,N,0,1,89.84
190.0,E,0,8,39.66
190.0,S,0,3,51.95
191.0,W,0,4,56.36
191.0,N,0,1,91.82
191.0,E,0,9,42.53
191.0,S,0,3,53.94
192.0,W,0,5,56.16
192.0,N,0,2,86.94
192.0,E,0,7,46.19
192.0,S,0,3,54.98
193.0,W,0,5,54.48
193.0,N,0,1,88.54
