time,dir,queue,vehicles,mean_speed
197.0,W,0,0,60.01
197.0,N,0,1,94.48
197.0,E,14,21,35.95
197.0,S,0,2,53.33
198.0,W,0,0,60.01
198.0,N,0,1,90.99
198.0,E,15,21,35.07
198.0,S,0,1,59.68
199.0,W,0,0,60.01
199.0,N,0,1,86.94
199.0,E,16,22,35.45
199.0,S,0,1,60.11
200.0,W,0,0,60.01
200.0,N,0,0,100.01
200.0,E,16,22,34.64
200.0,S,0,1,59.99
201.0,W,0,0,60.01
201.0,N,0,0,100.01
201.0,E,17,23,34.65
201.0,S,0,1,59.52
202.0,W,0,0,60.01
202.0,N,0,0,100.01
202.0,E,18,23,33.74
202.0,S,0,1,59.28
203.0,W,0,0,60.01
203.0,N,0,0,100.01
203.0,E,19,24,33.59
203.0,S,0,1,59.53
204.0,W,0,0,60.01
204.0,N,0,1,79.33
204.0,E,19,24,32.55
204.0,S,0,1,60.09
205.0,W,0,0,60.01
205.0,N,0,1,80.68
205.0,E,19,25,33.01
205.0,S,0,0,60.01
206.0,W,0,0,60.01
206.0,N,0,1,82.28
206.0,E,21,25,32.33
206.0,S,0,0,60.01
207.0,W,0,0,60.01
207.0,N,0,1,83.81
207.0,E,21,26,32.66
207.0,S,0,0,60.01
208.0,W,0,0,60.01
208.0,N,0,1,85.51
208.0,E,21,27,33.31
208.0,S,0,0,60.01
209.0,W,0,0,60.01
209.0,N,0,1,87.03
209.0,E,22,27,32.59
209.0,S,0,0,60.01
210.0,W,0,1,53.57
210.0,N,0,1,88.72
210.0,E,22,27,31.95
210.0,S,0,0,60.01
211.0,W,0,1,55.78
211.0,N,0,1,90.37
211.0,E,23,28,32.09
211.0,S,0,0,60.01
212.0,W,0,1,57.49
212.0,N,0,0,100.01
212.0,E,23,28,32.0
212.0,S,0,0,60.01
213.0,W,0,1,58.98
213.0,N,0,0,100.01
213.0,E,24,29,32.57
213.0,S,0,0,60.01
214.0,W,0,1,59.13
214.0,N,0,0,100.01
214.0,E,24,29,32.18
214.0,S,0,0,60.01
215.0,W,0,0,60.01
215.0,N,0,0,100.01
215.0,E,25,30,32.37
215.0,S,0,0,60.01
216.0,W,0,0,60.01
216.0,N,0,0,100.01
216.0,E,26,30,31.49
216.0,S,0,0,60.01
217.0,W,0,0,60.01
217.0,N,0,0,100.01
217.0,E,26,31,32.02
217.0,S,0,1,51.69
218.0,W,0,0,60.01
218.0,N,0,0,100.01
218.0,E,27,32,32.29
218.0,S,0,1,53.25
219.0,W,0,0,60.01
219.0,N,0,0,100.01
219.0,E,28,33,32.48
219.0,S,0,1,55.15
220.0,W,0,0,60.01
220.0,N,0,0,100.01
220.0,E,28,34,32.44
220.0,S,0,1,56.48
221.0,W,0,0,60.01
221.0,N,0,0,100.01
221.0,E,29,35,32.22
221.0,S,0,2,48.42
222.0,W,0,0,60.01
222.0,N,0,0,100.01
222.0,E,29,36,32.2
222.0,S,0,2,51.7
223.0,W,0,0,60.01
223.0,N,0,0,100.01
223.0,E,31,36,31.54
223.0,S,0,2,56.37
224.0,W,0,0,60.01
224.0,N,0,0,100.01
224.0,E,32,37,31.34
224.0,S,0,2,57.12
225.0,W,0,0,60.01
225.0,N,0,0,100.01
225.0,E,32,37,30.66
225.0,S,0,2,58.64
226.0,W,0,0,60.01
226.0,N,0,0,100.01
226.0,E,34,38,30.89
226.0,S,0,2,60.19
227.0,W,0,0,60.01
227.0,N,0,0,100.01
227.0,E,32,38,30.71
227.0,S,0,2,60.06
228.0,W,0,0,60.01
228.0,N,0,0,100.01
228.0,E,30,36,30.46
228.0,S,0,2,60.12
229.0,W,0,0,60.01
229.0,N,0,1,82.34
229.0,E,30,36,30.56
