time,dir,queue,vehicles,mean_speed,lane_count,lane_configs,bus_count,bus_routes
338.0,N,0,1,86.3,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
338.0,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),0,
338.0,S,0,0,0,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
339.0,W,0,0,0,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
339.0,N,0,1,83.9,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
339.0,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),0,
339.0,S,0,0,0,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
340.0,W,0,0,0,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
340.0,N,0,1,84.68,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
340.0,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),0,
340.0,S,0,0,0,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
341.0,W,0,0,0,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
341.0,N,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
341.0,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),0,
341.0,S,0,1,55.03,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
342.0,W,0,0,0,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
342.0,N,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
342.0,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),0,
342.0,S,0,1,56.25,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
343.0,W,0,0,0,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
343.0,N,0,1,95.32,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
343.0,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),0,
343.0,S,0,1,57.8,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
344.0,W,0,0,0,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
344.0,N,0,1,96.47,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
344.0,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),0,
344.0,S,0,1,58.75,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
